ID,ID in paper,CAS,SMILES,Hydrogen evolution rate / µmol/h,EA* / V,EA / V,Sr / a.u.,Δσ / Å,H(CT) / Å,D(Δ) / a.u.,E(exciton binding) / eV,E(solvation) / eV,E(binding) / eV,S1-S0 / eV,S1-T1 / eV,pos_0,pos_1,group,fps_cluster,fps_pos0,fps_pos1,b3lypsoap_pos0,b3lypsoap_pos1,b3lyp_cluster,dft_pos0,dft_pos1,dft_cluster,num_rotatable_bounds,b3lypsoapval_pos0,b3lypsoapval_pos1
171,1,03/08/2144,O=Cc1ccc(O)c(O)c1O,0,0.958740415,-2.932459585,0.481,0.711,1.412,2.3943,1.221483537,-0.399406019,-0.494217733,3.8912,0.597741266,4.666144,5.9682627,5,3,6.924616,7.0510798,4.3490705,12.923148,4,7.7934356,7.879358,2,,2.9702294,12.26076
172,2,05/07/2321,O=C1OC2(c3ccc(O)cc3Oc3cc(O)ccc32)c2ccccc21,20.22317364,1.067595008,-2.985404992,0.24622,-0.644,1.262,6.8428,0.538294621,-0.526185452,-0.603324622,4.053,0.026847485,6.362239,4.1586785,1,4,5.5612535,5.1901894,5.236028,11.527292,5,8.96547,2.0271962,3,,3.348864,10.8137455
174,3,04/05/3271,COc1ccc2c3c(cccc13)C(=O)N(C)C2=O,1.909048448,1.263281524,-2.088518476,0.7672,0.141,1.879,2.3756,0.318363544,-0.294899471,-0.760546303,3.3518,1.054449249,3.230006,5.3280616,5,4,4.563046,6.7353225,10.013519,11.04846,5,6.223962,4.8420963,2,,7.512431,12.016873
175,4,1078153-58-8,O=C(O)c1ccc(-c2cc(-c3ccc(C(=O)O)cc3)c(-c3ccc(C(=O)O)cc3)cc2-c2ccc(C(=O)O)cc2)cc1,0.051975372,1.408589832,-2.255410168,0.81078,1.067,0.862,0.0478,0.269294366,-0.684937809,-0.436595467,3.664,0.719231938,6.7324324,3.9586532,1,1,1.4205221,11.716317,5.784668,11.719313,2,0.3068223,4.6299796,5,,3.957947,10.999673
176,5,02/03/3988,O=C(c1ccc(Br)cc1)c1ccc(Br)cc1,6.774424863,1.395334177,-2.247065823,0.52997,0.854,1.222,1.8539,1.003206743,-0.195947755,-0.499122852,3.6424,0.577942433,4.7341037,3.059811,1,5,3.9585059,10.9372225,3.4815524,9.535738,1,8.964164,7.644579,2,,2.2586706,8.47033
177,6,06/04/4113,O=Cc1ccc2ncccc2c1,3.113823034,1.493109435,-2.167390565,0.47315,1.009,1.588,3.1014,0.667316066,-0.225135303,-0.462060957,3.6605,0.837977262,4.8465867,0.9407577,3,1,3.761361,8.379404,3.9876087,7.028728,2,11.523361,4.817761,3,,3.8453066,5.598535
178,7,09/05/4181,O=Cc1ccc(N(c2ccccc2)c2ccccc2)cc1,0.317312308,0.477448035,-2.729351965,0.62365,0.022,2.439,5.7652,0.300403313,-0.246749048,-0.497382961,3.2068,0.322636711,7.9933443,1.7283223,2,1,0.4759744,9.027535,7.0258293,8.166246,2,9.260327,2.1111171,3,,6.367852,7.6218247
179,8,06/02/4381,N#Cc1ccc(CCc2ccc(C#N)cc2)cc1,0,2.045900064,-2.864599936,0.80812,0.528,3.084,0.0002,0.31177166,-0.425935567,-0.400864389,4.9105,1.319917685,5.428445,-0.036343347,3,5,4.7749195,10.366514,5.9462333,6.488143,1,-1.109284,4.534552,1,,5.0484934,4.555953
181,9,02/09/7657,FC(F)(F)c1cc(Br)ccc1Br,0,1.704279575,-3.131720425,0.76911,-0.636,1.431,0.3716,0.676981624,-0.098566948,-0.36782712,4.836,1.278345785,1.986676,1.730524,4,2,9.483668,10.140431,0.78479815,10.518956,3,1.6602019,6.2017655,4,,0.3770638,7.5453463
183,10,100125-12-0,Brc1cnc2c(ccc3cc(Br)cnc32)c1,0.654679887,1.464259728,-2.480440272,0.93393,-0.224,1.37,0.3441,0.656461166,-0.264042401,-0.64728919,3.9447,1.077729931,3.2263384,2.0912771,4,3,6.4400535,9.945904,2.1921346,8.777365,4,1.8151591,5.3013554,5,,1.083222,7.5192504
184,11,100-19-6,CC(=O)c1ccc([N+](=O)[O-])cc1,0,1.764480063,-1.574919937,0.41711,1.415,1.788,5.5378,1.200436529,-0.264011733,-0.399930226,3.3394,0.35021452,3.5533185,5.765049,5,5,4.3668275,12.503832,9.765093,10.534537,1,11.290547,5.321234,3,,6.2964306,12.217976
185,12,10040-98-9,O=Cc1ccc(-n2ccnc2)cc1,1.504342077,1.331580057,-2.433919943,0.475,1.036,1.554,2.9444,0.627415917,-0.328067678,-0.49715011,3.7655,0.564415179,4.7545853,0.32368386,3,1,3.287504,10.119634,4.1278944,6.906864,2,11.345645,4.71163,3,,3.7934976,5.47554
186,13,1005771-04-9,CC(C)(C)c1cc2ccc3c(Br)cc(Br)c4ccc(c1)c2c34,0.121059858,0.943732222,-2.366167778,0.89825,-0.128,2.399,0.268,0.098915062,-0.120418982,-0.857488787,3.3099,1.292839068,7.80145,0.8606371,2,4,2.9454765,5.8258057,8.240776,8.919391,5,-3.3378973,5.2566257,1,,6.7196,9.030703
187,14,10070-92-5,O=Cc1cncnc1,0.036443442,1.452472889,-2.155027111,0.47698,0.413,1.538,2.2124,1.568495008,-0.221155868,-0.268872246,3.6075,0.49523698,3.7792156,-0.8013094,3,1,3.6031837,10.209325,6.5344677,5.040142,1,9.932618,7.462249,2,,5.7606573,3.4377367
188,15,100-83-4,O=Cc1cccc(O)c1,0,1.141303839,-2.677996161,0.47558,0.65,1.329,2.2692,0.829915179,-0.265660901,-0.313273023,3.8193,0.724794255,4.052907,5.5317492,5,3,6.0037785,9.586678,3.7238364,11.753713,4,8.294508,8.132295,2,,5.1958284,11.527533
189,16,1009-61-6,CC(=O)c1ccc(C(C)=O)cc1,5.520159642,1.408777049,-2.148122951,0.50652,-0.69,2.916,0.0015,1.287277994,-0.255760696,-0.528639252,3.5569,0.497807468,3.013363,5.866074,5,5,3.6377993,12.851675,9.342136,9.5501,1,-2.695622,3.6096003,1,,6.534594,11.426277
190,17,101-01-9,c1ccc(N=C(Nc2ccccc2)Nc2ccccc2)cc1,0,0.568324166,-3.684475834,0.72951,0.563,2.188,2.1526,0.417395608,-0.27439279,-0.529053451,4.2528,0.229920709,6.277593,-0.043262426,2,1,1.1002502,9.024706,6.646649,6.983509,2,6.020927,7.040253,2,,5.7787786,5.287421
191,18,101048-76-4,N#Cc1ccc(C=O)cc1F,0.10360293,1.688047636,-1.830852364,0.47328,1.065,1.59,3.3076,1.322847072,-0.274736931,-0.270748838,3.5189,0.483867854,2.9341984,1.214974,4,2,8.739268,10.478855,3.0824456,6.9558105,3,11.428554,5.834252,3,,2.7148175,5.715431
192,19,10111-08-7,O=Cc1ncc[nH]1,0.468773093,1.197809293,-2.748490707,0.48847,0.533,1.203,2.0443,1.116806889,-0.266887777,-0.419243156,3.9463,0.764787872,3.7826755,-1.0630671,3,3,7.3942156,10.079443,6.568127,5.0653877,4,8.507845,7.9168863,2,,5.854978,3.491802
193,20,1016-05-3,O=S1(=O)c2ccccc2-c2ccccc21,0.222487753,1.588788719,-2.533111281,0.80128,-0.038,1.154,0.796,0.508784338,-0.375309406,-0.562718627,4.1219,1.020502119,5.3553205,3.804119,1,4,4.2473793,7.4815464,5.9327526,11.025925,5,2.1073737,5.101557,5,,4.2484193,10.323488
194,21,1023290-12-1,O=Cc1cc(O)cc(F)c1,0,1.267837133,-2.520262867,0.47796,0.663,1.324,2.3252,0.877740004,-0.237741182,-0.42292046,3.7881,0.606423385,4.384464,5.1472983,5,3,7.17973,8.235243,2.9764943,11.267361,4,8.745744,8.365614,2,,1.3495036,10.114287
196,22,102587-98-4,Brc1cc2ccc3cc(Br)cc4ccc(c1)c2c34,0,1.156027965,-2.359772035,0.91498,0.005,1.89,0,0.08371675,-0.145406031,-0.714595524,3.5158,1.423998622,5.807927,3.2833755,1,4,2.9629836,5.780501,4.1498623,9.374288,5,-3.0179641,5.8083687,1,,2.9246955,8.508195
197,23,102664-66-4,c1ccc(Nc2cc(Nc3ccccc3)cc(Nc3ccccc3)c2)cc1,0,0.026584572,-3.971415428,0.7724,0.486,2.693,0.6795,0.45842154,-0.369742518,-0.720814801,3.998,0.758915266,6.4130964,-0.010000487,2,1,1.3875067,9.193791,6.7609205,6.959784,2,-2.4686031,6.827207,1,,5.867377,5.313324
198,24,10312-55-7,Nc1cc(C(=O)O)ccc1C(=O)O,0.108694256,0.883321588,-2.426378412,0.66404,0.535,1.571,1.6259,0.505280178,-0.320842588,0.259973118,3.3097,1.011585765,4.5826364,6.0368795,5,5,2.9090288,12.61834,4.082456,12.680458,1,6.537213,5.7220154,2,,3.3071218,12.365705
199,25,103-30-0,C(=C/c1ccccc1)\c1ccccc1,0,0.836833403,-2.841066597,0.86379,0.035,0.934,0.0001,0.269422009,-0.150112443,-0.452971343,3.6779,1.383740374,6.717709,1.2191603,2,1,2.4255865,9.325417,7.5814543,9.13991,2,0.35951915,7.143189,4,,5.98432,9.0118065
200,26,103-33-3,c1ccc(N=Nc2ccccc2)cc1,0,0.618060711,-1.968939289,0.56336,1.017,0.755,0.0007,1.370366815,-0.137285662,-0.470984159,2.587,0.803290175,5.328752,-0.12232284,3,1,2.3325257,9.283755,6.2782516,6.8444467,2,3.8402529,6.6200285,4,,5.442035,5.1813903
201,27,10338-57-5,O=Cc1ccc(N2CCCCC2)cc1,0.431314655,0.760328093,-2.980271907,0.63073,-0.015,2.167,5.156,0.232012708,-0.235949835,-0.384204088,3.7406,0.422889834,8.045006,-0.52532893,2,5,4.232483,11.643046,9.097518,7.909938,1,8.82104,2.523334,3,,7.6384277,10.586554
202,28,103438-85-3,O=Cc1ccc(F)c(O)c1,0.000355923,1.201188215,-2.651611785,0.46787,0.701,1.285,2.3713,0.919311179,-0.270076887,-0.444842126,3.8528,0.65943576,4.338773,5.117796,5,3,6.5463505,7.7328215,2.9903152,11.297595,4,8.587631,8.204007,2,,1.3551086,10.138695
203,29,1035631-57-2,CC1(C)OB(c2ccc3c4ccc(B5OC(C)(C)C(C)(C)O5)cc4n(-c4ccccc4)c3c2)OC1(C)C,0.01332698,0.587101167,-2.902798833,0.69649,0.551,1.563,1.2535,0.396314735,-0.335436416,-0.882355426,3.4899,0.597963147,8.373757,-0.4441868,2,4,3.3189383,3.4014914,10.71768,7.3611,5,5.2301774,6.6663275,2,,9.153454,9.455406
204,30,1036248-62-0,c1cc(-c2cn[nH]c2)ccc1-c1cn[nH]c1,0,0.738903246,-3.557696754,0.8188,-0.452,0.764,0.0454,0.304115771,-0.455973387,-0.471559395,4.2966,1.194946824,4.666549,-0.7306454,3,5,3.9127088,10.75608,6.3701873,5.753843,1,1.3500721,8.403854,4,,5.3247933,3.9604096
205,31,10365-94-3,N#Cc1cc(C#N)cc(C#N)c1,0.001746852,2.576433227,-2.022466773,0.94625,-0.091,1.614,0.0018,0.948826318,-0.428374625,-0.213817898,4.5989,1.221037209,2.3120055,0.40946597,4,5,6.298438,11.820765,1.0665665,5.3902946,1,0.27080426,2.7315018,5,,1.0422072,3.8945196
206,32,10386-27-3,N#Cc1ccnc(Br)c1,0.018717692,2.282071196,-2.201728804,0.66847,-0.069,1.693,3.343,0.680554531,-0.230833458,-0.230384839,4.4838,1.032854144,0.5252525,2.875956,4,3,7.5463104,11.046918,-0.38134614,8.522345,4,8.862848,5.037996,3,,-1.3111669,6.6817584
207,33,10386-84-2,Fc1c(F)c(-c2c(F)c(F)c(Br)c(F)c2F)c(F)c(F)c1Br,0,1.997993003,-2.600006997,0.81158,-0.706,3.028,0.0005,0.598839653,-0.114765835,-0.461573296,4.598,0.455703015,0.40146625,0.67435294,4,2,11.592667,8.580622,-0.3628563,6.302438,3,-2.3276348,3.826625,1,,-0.14034499,5.0000944
208,34,10387-13-0,ClCc1c2ccccc2c(CCl)c2ccccc12,0,0.936873327,-1.919726673,0.87722,-0.011,0.839,0.056,0.164460024,-0.249484627,-0.552567079,2.8566,1.210577675,7.0282793,2.5321348,1,4,2.850133,7.2550225,6.2546134,9.875033,5,0.3910291,6.824812,4,,4.983656,8.941365
209,35,10466-37-2,N#Cc1ccc(Cc2ccc(C#N)cc2)cc1,0,2.045019449,-2.797980551,0.82116,0.386,1.194,0.4546,0.346764225,-0.413318885,-0.407237073,4.843,1.178974308,5.471416,0.27405062,3,5,4.8162684,10.395908,5.5837073,6.640069,1,0.96937555,4.04061,5,,4.647088,4.6299524
210,36,104-88-1,O=Cc1ccc(Cl)cc1,0.964256927,1.316961717,-2.453538283,0.4774,0.783,1.374,2.5547,1.329202468,-0.168234869,-0.358683861,3.7705,0.502257277,4.240797,4.683516,5,5,4.990439,11.476174,2.725886,10.969333,1,10.085703,7.840531,2,,1.2116572,9.8224125
211,37,105-07-7,N#Cc1ccc(C=O)cc1,0.136118255,1.60387671,-1.94402329,0.47051,1.083,1.574,3.3245,1.418633305,-0.278482676,-0.308296166,3.5479,0.477853258,4.38696,1.053408,3,5,5.2921605,11.646267,3.5567296,6.9660025,1,11.395902,5.888024,3,,3.2985725,5.5442867
212,38,1054484-40-0,Nc1c(Br)cnc(Cl)c1Br,0,1.366281587,-3.356318413,0.75525,-0.125,1.398,1.8045,0.685986016,-0.202197646,-0.431535607,4.7226,0.316517216,1.0152829,2.680165,4,2,9.271092,9.314029,0.04677722,9.424204,3,4.614092,7.8264494,4,,-1.219091,7.607127
